,project,bugid,test,test_method,pattern,commit_modified,report_url
0,Cli,1,BugCLI13Test,testCLI13,1,['b0e1b80b6d4a10a9c9f46539bc4c7a3cce55886e'],https://issues.apache.org/jira/browse/CLI-13
1,Cli,2,BugCLI51Test,test,1,['2ff9573ffb08dd52ec3a55a49f2d77a1e94efbdf'],https://issues.apache.org/jira/browse/CLI-51
5,Cli,5,BugCLI133Test,testOrder,1,['3880640ee6268a2ecb2912e1ae896153dc2229e5'],https://issues.apache.org/jira/browse/CLI-133
6,Cli,5,UtilTest,testStripLeadingHyphens,1,['3880640ee6268a2ecb2912e1ae896153dc2229e5'],https://issues.apache.org/jira/browse/CLI-133
8,Cli,8,HelpFormatterTest,testPrintWrapped,3,"['aae50c585ec3ac33c6a9af792e80378904a73195', '9b2b8038b52be022e42c8c7fdf26e236888f94c5', '4f407378c93b9e2a8e24c855e8bed5eb12bf7a06']",https://issues.apache.org/jira/browse/CLI-151
9,Cli,9,OptionsTest,testMissingOptionsException,3,"['f78959477b207bf710049aa35730ef7659f0a1b9', 'fea35870b69c0d37ab36ab6783edbc7aacc0842c']",https://issues.apache.org/jira/browse/CLI-149
10,Cli,9,ParseRequiredTest,testMissingRequiredOptions,1,['fea35870b69c0d37ab36ab6783edbc7aacc0842c'],https://issues.apache.org/jira/browse/CLI-149
11,Cli,10,ParseRequiredTest,testReuseOptionsTwice,1,['d72a578a8949e4b1c437ec55997d8786836f139c'],https://issues.apache.org/jira/browse/CLI-156
16,Cli,13,BugLoopingOptionLookAlikeTest,testLoopingOptionLookAlike2,3,"['b92abb2404801d931c42d55f25749ad862947ea3', '37ead87cdd8de8ddb6cbb2f8f091eb572565080c', '4729315c88e18a531c151162f42544d525e36752', 'ca1e681ac7ce142befe950df5506e81c1935252d', '47b2fa57db0f54d71ea4822fdb44b10656002890', 'e2ba946ea0e01c36c84f97f483e1d22cfd64b917', '538fb6889f0387a40b821cfb315685e929110736']",https://issues.apache.org/jira/browse/CLI-61
17,Cli,14,BugCLI144Test,testFileValidator,1,['c338c8aca40d43efda580057f6d41ba228e26ec1'],https://issues.apache.org/jira/browse/CLI-144
18,Cli,15,BugCLI158Test,testSingleOptionMaximumNumberOfArgument,1,['a93139165b160af1c908c85a06b0af6b3dda3387'],https://issues.apache.org/jira/browse/CLI-158
19,Cli,15,BugCLI158Test,testSingleOptionSingleArgument,1,['a93139165b160af1c908c85a06b0af6b3dda3387'],https://issues.apache.org/jira/browse/CLI-158
66,Closure,1,CommandLineRunnerTest,testDebugFlag1,3,"['31193006e16b909a3115f998789057fb05d76b18', '848ace840362a1f5558bec065cb40548ff66587a', 'e5d3e5e012871b87d2f2a59985bc6522bb571ee2', 'eb5eae4438f49ffddd3c8be1413eeb9e7ecfb311', '279196b617c5de1ade21110979b6b13d8eda6342', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
67,Closure,1,CommandLineRunnerTest,testForwardDeclareDroppedTypes,3,"['301ed5b03eb52debdc9b87929a45880eb2faf1fe', '5709ec1d0bbe5b7726a14d06f7eab9c35150e314', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
68,Closure,1,CommandLineRunnerTest,testSimpleModeLeavesUnusedParams,1,['1dfad5043a207e032a78ef50c3cba50488bcd300'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
69,Closure,1,IntegrationTest,testIssue787,2,"['d6d733f461ee5ba26e9326c1c7609f1f00d6d2db', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
70,Closure,1,RemoveUnusedVarsTest,testIssue168b,3,"['4672a1aca15e6d5c3e7c2e00e31767f3c8327335', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
71,Closure,1,RemoveUnusedVarsTest,testRemoveGlobal1,3,"['eb5eae4438f49ffddd3c8be1413eeb9e7ecfb311', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
72,Closure,1,RemoveUnusedVarsTest,testRemoveGlobal2,3,"['eb5eae4438f49ffddd3c8be1413eeb9e7ecfb311', '4672a1aca15e6d5c3e7c2e00e31767f3c8327335', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
73,Closure,1,RemoveUnusedVarsTest,testRemoveGlobal3,3,"['eb5eae4438f49ffddd3c8be1413eeb9e7ecfb311', '4672a1aca15e6d5c3e7c2e00e31767f3c8327335', '1dfad5043a207e032a78ef50c3cba50488bcd300']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json
74,Closure,2,TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces,1,['d1cfe67977d8f3aaa85ec20c262171da394d5977'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-884.json
75,Closure,3,FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression1,1,['d80fcc04239ab8c4cf781273c4f9bc54cf06f479'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-864.json
76,Closure,3,FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression1a,1,['d80fcc04239ab8c4cf781273c4f9bc54cf06f479'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-864.json
77,Closure,3,FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression3,1,['d80fcc04239ab8c4cf781273c4f9bc54cf06f479'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-864.json
